;Name;Bolock_id_0;Bolock_id_1;Bolock_id_2;Bolock_id_3;Bolock_id_4;Bolock_id_5;Bolock_id_6;Bolock_id_7;Bolock_id_8;Bolock_id_9
0;City_Test_control_10;34,0;68,0;102,0;136,0;170,0;204,0;238,0;272,0;306,0;340,0
1;City_Test_control_3;34,0;68,0;102,0;;;;;;;
2;City_Test_RSS_2_1_10;34,0;68,0;102,0;136,0;170,0;204,0;238,0;272,0;306,0;340,0
3;City_Test_RSS_RS_2_1_10;34,0;68,0;102,0;136,0;170,0;204,0;238,0;272,0;306,0;340,0
4;City_Test_RSS_RS_2_1_3;34,0;68,0;102,0;;;;;;;
5;City_Test_RSS_RS_RT_2_1_3;34,0;68,0;102,0;;;;;;;
6;City_Test_RSS_RT_2_1_3;34,0;68,0;102,0;;;;;;;
7;City_Test_RSS_2_1_3;34,0;68,0;102,0;;;;;;;
8;City_Test_RSS_BB_2_1_3;34,0;68,0;102,0;;;;;;;
9;City_Test_Salt_Noise_03_3;34,0;68,0;102,0;;;;;;;
10;City_Test_Gaussian_Noise_03_3;34,0;68,0;102,0;;;;;;;
11;City_Test_sp_Noise_03_3;34,0;68,0;102,0;;;;;;;
12;City_Test_Gaussian_Noise_03_BlurGaussian_1_5_3;34,0;68,0;102,0;;;;;;;
13;City_Test_Gaussian_Noise_03_BlurGaussian_05_03_3;34,0;68,0;102,0;;;;;;;
14;City_Test_RSS_SS_ST_3;34,0;68,0;102,0;;;;;;;
15;City_Test_RSS_SS_3;34,0;68,0;102,0;;;;;;;
16;Patin_Test_RSS_RS_2_1_3;21,0;42,0;63,0;;;;;;;
17;Patin_Test_RSS_RS_RT_2_1_3;21,0;42,0;63,0;;;;;;;
18;Patin_Test_RSS_RT_2_1_3;21,0;42,0;63,0;;;;;;;
19;Patin_Test_RSS_2_1_3;21,0;42,0;63,0;;;;;;;
20;Patin_Test_RSS_BB_2_1_3;21,0;42,0;63,0;;;;;;;
21;Patin_Test_Salt_Noise_03_3;21,0;42,0;63,0;;;;;;;
22;Patin_Test_Gaussian_Noise_03_3;21,0;42,0;63,0;;;;;;;
23;Patin_Test_sp_Noise_03_3;21,0;42,0;63,0;;;;;;;
24;Patin_Test_Gaussian_Noise_03_BlurGaussian_1_5_3;21,0;42,0;63,0;;;;;;;
25;Patin_Test_Gaussian_Noise_03_BlurGaussian_05_03_3;21,0;42,0;63,0;;;;;;;
26;Patin_Test_RSS_SS_ST_3;21,0;42,0;63,0;;;;;;;
27;Patin_Test_RSS_SS_3;21,0;42,0;63,0;;;;;;;
28;city_oscuro_Test_control_10;34,0;68,0;102,0;136,0;170,0;204,0;238,0;272,0;306,0;340,0
29;city_oscuro_Test_control_3;34,0;68,0;102,0;;;;;;;
30;city_oscuro_Test_RSS_2_1_10;34,0;68,0;102,0;136,0;170,0;204,0;238,0;272,0;306,0;340,0
31;city_oscuro_Test_RSS_RS_2_1_10;34,0;68,0;102,0;136,0;170,0;204,0;238,0;272,0;306,0;340,0
32;city_oscuro_Test_RSS_RS_2_1_3;34,0;68,0;102,0;;;;;;;
33;city_oscuro_Test_RSS_RS_RT_2_1_3;34,0;68,0;102,0;;;;;;;
34;city_oscuro_Test_RSS_RT_2_1_3;34,0;68,0;102,0;;;;;;;
35;city_oscuro_Test_RSS_2_1_3;34,0;68,0;102,0;;;;;;;
36;city_oscuro_Test_RSS_BB_2_1_3;34,0;68,0;102,0;;;;;;;
37;city_oscuro_Test_Salt_Noise_03_3;34,0;68,0;102,0;;;;;;;
38;city_oscuro_Test_Gaussian_Noise_03_3;34,0;68,0;102,0;;;;;;;
39;city_oscuro_Test_sp_Noise_03_3;34,0;68,0;102,0;;;;;;;
40;city_oscuro_Test_Gaussian_Noise_03_BlurGaussian_1_5_3;34,0;68,0;102,0;;;;;;;
41;city_oscuro_Test_Gaussian_Noise_03_BlurGaussian_05_03_3;34,0;68,0;102,0;;;;;;;
42;city_oscuro_Test_RSS_SS_ST_3;34,0;68,0;102,0;;;;;;;
43;city_oscuro_Test_RSS_SS_3;34,0;68,0;102,0;;;;;;;
44;Patin_360_Test_control_10;20,0;40,0;60,0;80,0;100,0;120,0;140,0;160,0;180,0;200,0
45;Patin_360_Test_control_3;20,0;40,0;60,0;;;;;;;
46;Patin_360_Test_RSS_2_1_10;20,0;40,0;60,0;80,0;100,0;120,0;140,0;160,0;180,0;200,0
47;Patin_360_Test_RSS_RS_2_1_10;20,0;40,0;60,0;80,0;100,0;120,0;140,0;160,0;180,0;200,0
48;Patin_360_Test_RSS_RS_2_1_3;20,0;40,0;60,0;;;;;;;
49;Patin_360_Test_RSS_RS_RT_2_1_3;20,0;40,0;60,0;;;;;;;
50;Patin_360_Test_RSS_RT_2_1_3;20,0;40,0;60,0;;;;;;;
51;Patin_360_Test_RSS_2_1_3;20,0;40,0;60,0;;;;;;;
52;Patin_360_Test_RSS_BB_2_1_3;20,0;40,0;60,0;;;;;;;
53;Patin_360_Test_Salt_Noise_03_3;20,0;40,0;60,0;;;;;;;
54;Patin_360_Test_Gaussian_Noise_03_3;20,0;40,0;60,0;;;;;;;
55;Patin_360_Test_sp_Noise_03_3;20,0;40,0;60,0;;;;;;;
56;Patin_360_Test_Gaussian_Noise_03_BlurGaussian_1_5_3;20,0;40,0;60,0;;;;;;;
57;Patin_360_Test_Gaussian_Noise_03_BlurGaussian_05_03_3;20,0;40,0;60,0;;;;;;;
58;Patin_360_Test_RSS_SS_ST_3;20,0;40,0;60,0;;;;;;;
59;Patin_360_Test_RSS_SS_3;20,0;40,0;60,0;;;;;;;
60;Patin_Test_control_10;21,0;42,0;63,0;84,0;105,0;126,0;147,0;168,0;189,0;210,0
61;Patin_Test_control_3;21,0;42,0;63,0;;;;;;;
62;Patin_Test_RSS_2_1_10;21,0;42,0;63,0;84,0;105,0;126,0;147,0;168,0;189,0;210,0
63;Patin_Test_RSS_RS_2_1_10;21,0;42,0;63,0;84,0;105,0;126,0;147,0;168,0;189,0;210,0
